Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Dialogue/FS_Mokou_Ark/002,Text,Lucy,,You've been floating around like this all the time. Aren't you tired?,,你一直这样飘着，不累吗？,
Dialogue/FS_Mokou_Ark/003,Text,,,"*Fujiwara no Mokou
...You don't even doubt the fact that I'm flying right now?",,"*藤原妹红
……你竟然一点都不怀疑我正在飞着的事实吗。",
Dialogue/FS_Mokou_Ark/004,Text,Lucy,,"There are many odd people in the Ark, and many with special abilities. So I've gotten used to it.",,方舟里有很多怪人，也有很多人有特殊的能力，所以我已经习惯了。,
Dialogue/FS_Mokou_Ark/005,Text,,,"*Fujiwara no Mokou
I’m concerned about the environment you grew up in...",,"*藤原妹红
我对你的成长环境担忧啊……",
Dialogue/FS_Mokou_BambooForest/002,Text,,,"[b]It’s coming back to me.
As hard as it is to believe.[/b]",,"[b]想起来了。
虽然不敢相信。[/b]",
Dialogue/FS_Mokou_BambooForest/003,Text,,,"[b]What is the meaning of my existence?
What was the point of all my efforts all this time?[/b]",,"[b]我存在的意义是什么。
我一直以来的努力又算什么。[/b]",
Dialogue/FS_Mokou_BambooForest/004,Text,,,...Mokou...,,…………红…,
Dialogue/FS_Mokou_BambooForest/005,Text,Lucy,,Mokou!,,妹红！,
Dialogue/FS_Mokou_BambooForest/006,Text,,,"*Mokou
[sh]Huh?! Lucy, you called me?",,"*妹红
[sh]嗯？！露西你叫我啊。",
Dialogue/FS_Mokou_BambooForest/007,Text,Lucy,,"The moment we entered this bamboo forest, you suddenly fell silent, deep in thought.
It’s just like—how you were in the Archives.",,"一进到这个竹林里，你就突然一言不发，一副若有所思的样子。
就像是——在档案馆里的样子呢。",
Dialogue/FS_Mokou_BambooForest/008,Text,Lucy,,"I don’t know what you’ve been through in the past…
Or what you saw in the Archives…",,"我不知道你过去都经历了什么…
也不知道你在档案馆里看到了什么…",
Dialogue/FS_Mokou_BambooForest/009,Text,Lucy,,"But if we give up now, we’ll never return to the real world.",,但是如果我们就这样放弃，就永远无法回到现实世界了。,
Dialogue/FS_Mokou_BambooForest/010,Text,,,"*Mokou
Wouldn’t it be fine to…not go back?
Why must we return to the real world?",,"*妹红
不回去，不也挺好的吗？
为什么我们一定要回到现实世界呢？",
Dialogue/FS_Mokou_BambooForest/011,Text,,,"*Mokou
Couldn’t we stay here forever?
I think things are just fine as they are now.",,"*妹红
永远地待在这里不也是可以的吗？
我觉得现在这样就挺好的。",
Dialogue/FS_Mokou_BambooForest/012,Text,Lucy,,You…don’t want to leave?,,你…不想出去吗？,
Dialogue/FS_Mokou_BambooForest/013,Text,,,"*Mokou
...It’s not that I don’t want to leave. I can’t leave.",,"*妹红
……我不是不想出去，我是不能出去。",
Dialogue/FS_Mokou_BambooForest/014,Text,Lucy,,"...Back in the Archives, you said you weren’t the real Mokou.
If something’s troubling you, you can discuss it with me.",,"……之前在档案馆时你就说过，你不是妹红什么的。
如果你有什么困扰的，都可以和我商量。",
Dialogue/FS_Mokou_BambooForest/015,Text,,,"*Mokou
...",,"*妹红
………………",
Dialogue/FS_Mokou_BambooForest/016,Text,,,"*Mokou
I told you a story before, right?
Would you…like to hear its conclusion?",,"*妹红
我之前，跟你讲过一个故事对吧。
你愿意，听完这个故事的后续吗？",
Dialogue/FS_Mokou_BambooForest/016_Option0,Text,,,Yes (nods),,嗯（点头）,
Dialogue/FS_Mokou_BambooForest/017,Text,,,"*Mokou
In the first three hundred years after gaining immortality, the girl was despised by humans, living a wretched life where hiding was the only way to avoid bringing trouble to herself and others.",,"*妹红
在成为不死之身的最初三百年里，女孩被人类所厌恶，过着不躲起来就会给自己和周围带来麻烦的悲惨生活。",
Dialogue/FS_Mokou_BambooForest/018,Text,,,"*Mokou
For the next three hundred years, the girl hated the world. Whether encountering youkai or anything else, she would immediately subdue them to maintain her fading sense of self.",,"*妹红
接下来的三百年，女孩痛恨这个世界，遇到妖怪也好不管什么也好，都会马上将对方降伏，以此来维持她那变得很稀薄的自我意识。",
Dialogue/FS_Mokou_BambooForest/019,Text,,,"*Mokou
In the following three hundred years, no youkai in the area could match her, and she lost interest in everything, consumed by boredom.",,"*妹红
再接下来的三百年，这周围的妖怪都不是女孩的对手了，而且她也对任何事物都失去了兴趣，开始感到非常的无聊。",
Dialogue/FS_Mokou_BambooForest/020,Text,,,"*Mokou
In the next three hundred years, she finally met her immortal rival again, finding purpose in their endless battles.",,"*妹红
再接下来的三百年，女孩终于再次见到了不死的宿敌，并在相互死斗之中找到了乐趣。",
Dialogue/FS_Mokou_BambooForest/021,Text,,,"*Mokou
Now, human society has gradually accepted her existence. Using her accumulated experience and battle-honed skills, she works as a guardian for humans.",,"*妹红
而到了现在，人类社会对于女孩的存在已经逐渐适应。她也凭借着自己多年来积累的经验和经过不断战斗获得的能力担任着人类的护卫工作。",
Dialogue/FS_Mokou_BambooForest/022,Text,,,"*Mokou
The gratitude from humans—something she never received before—now fuels her will to live. Gensokyo, a place unafraid of immortals, has become her paradise.",,"*妹红
那些以前从来都不会得到的来自人类的感谢，现在是支撑她生存下去的动力。不害怕不死之人的幻想乡对她而言就如同乐园。",
Dialogue/FS_Mokou_BambooForest/023,Text,Lucy,,"If that’s the case…why don’t you want to return to the real world, to that Gensokyo?",,既然这样……为什么你不愿意回到现实里，那个叫幻想乡的地方呢？,
