Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Toujyou_0_1_Description,Text,,,"All of Tsukasa's attack skills in hand and those drawn afterward gain ""Cold Calculation's Attack"", significantly amplifying offensive capabilities. After this Buff ends, half of her skills are randomly replaced with the curse [Unbearable Headache] (Lucy's Jinx).",全ての自分のの攻撃スキルは「冷徹の攻撃」を与え、攻撃能力を大幅に増幅します。しかし、バフが終わったあど、自分の半数スキルが[堪らない頭痛]（ルシーのジンクス）を取り替えます。,所有自己手中和接下来抽到的攻击技能获得「冷彻的进攻」，buff结束后将自己随机一半卡牌替换为诅咒「难以忍受的头痛」。,
Buff/B_Toujyou_0_1_Name,Text,,,Awakening,覚醒,覚醒,
Buff/B_Toujyou_5_Description,Text,,,"Grants all own attack skills ""Critical"" and ""Tracking"".",全ての自分のの攻撃スキルは「致命」「追跡」を与えします,使自己所有攻击技能获得「致命」、「追踪」；,
Buff/B_Toujyou_5_Name,Text,,,Awakening,覚醒,覚醒,
Buff/B_Toujyou_D1_Description,Text,,,"After drinking strange elixir, Defense decreases by 15%.",変な魔薬を飲んで、防御力が15％ダウンします,喝了奇怪的魔药，防御力下降15%,
Buff/B_Toujyou_D1_Name,Text,,,Elixir's Side Effect,魔薬の副作用,魔药的副作用,
Buff/B_Toujyou_DFugu_Description,Text,,,There are many ways to prepare blowfish~~,フグの調理方は結構多いわ,河豚吃法很多哦~~,
Buff/B_Toujyou_DFugu_Name,Text,,,Tetrodotoxin,テトロドトキシン,河豚毒素,
Buff/B_Toujyou_DTaunt_Description,Text,,,Taunt,挑発,嘲讽,
Buff/B_Toujyou_DTaunt_Name,Text,,,Taunt,挑発,嘲讽,
Buff/B_Toujyou_R12_Description,Text,,,,,,
Buff/B_Toujyou_R12_Name,Text,,,Wish Fulfillment,心願成就,心愿成真,
Buff/B_Toujyou_R1_Description,Text,,,,,,
Buff/B_Toujyou_R1_Name,Text,,,Prayer Dance,祈りの踊り,祈愿之舞,
Buff/B_Toujyou_R22_Description,Text,,,"""Submit eternally beneath a beauty's soles~""",美少女の靴底で一生に拜服しなさい～,“一辈子拜服在美少女的鞋下吧”,
Buff/B_Toujyou_R22_Name,Text,,,Bunny Girl Destruction,バニーガール破壊,兔女郎破坏,
Buff/B_Toujyou_R2_Description,Text,,,A gorgeous bunny girl stands before you~~,目の前に美少女バニーガールがいるよ～,眼前可是美少女兔女郎哦~~,
Buff/B_Toujyou_R2_Name,Text,,,Bunny Girl Destruction,バニーガール破壊,兔女郎破坏,
Buff/B_Toujyou_R3_Description,Text,,,"At turn start, heal based on 25% of buff applier's Healing Power, then activate effects according to current Field:

<color=#EDF40A>Luminous Field:</color> Draw 1 extra card every 2 turns. (Next activation: <color=#EDF40A>&a</color>)

<color=#F12B00>Blazing Field:</color> Amplify all allies' Attack and Healing Power by 0.15, Critical Rate/Critical Damage/Critical Healing by 
3%. Grants 1 turn of Healing Gauge protection every 2 turns. (Next activation: <color=#F12B00>&b</color>)

<color=#6924EB>Abyssal Field:</color> Grants all members 1 instance of <color=#1284F6>""Combo: Minor""</color> to a random attack skill.","ターンの始まりに、回復をさせます「バフ施加方の25％治癒力に基づいて」、そしてフィールドに応じて効果を発動します。
<color=#EDF40A>光のフィールド：</color>2ターンごとに、カードを1枚エクストラドローします。（次のターン：<color=#EDF40A>&a</color>）

<color=#F12B00>炎のフィールド：</color>全ての味方のフィールドが増幅されます：攻撃力と治癒力が0.15アップし、クリティカル率、クリティカルダメージおよびクリティカルヒーリングが3％アップされ、そして2ターンごとに、1ターンの回復ゲージ保護状態を与えます。（次のターン：<color=#F12B00>&b</color>）

<color=#6924EB>闇のフィールド：</color>全員それぞれに1つのランダム攻撃スキルを<color=#1284F6>「連撃・小」</color>1回与えます。","回合开始时进行治疗[25%buff施加者治疗力]，并根据场地不同施加不同的效果：

<color=#EDF40A>光の场</color>：每两回合生效一次，额外抽一张牌。
（下一回合：<color=#EDF40A>&a</color>）

<color=#F12B00>炎の场：</color> 场地获得0.15攻击力、治疗力、3%暴击率，暴击伤害，暴击治疗增益（可叠加）。每间隔一个回合，获得1回合体力极限保护
（下一回合：<color=#F12B00>&b</color>）

<color=#6924EB>闇の场：</color> 所有成员随机为自己的一个攻击技能赋予2层<color=#1284F6>「連撃・小」</color>
",
Buff/B_Toujyou_R3_Name,Text,,,Mirage,蜃気楼,海市蜃楼,
